nomor,tahun,judul,deskripsi,lokasi,status,detail_url,scraped_at
397,2001,PT. Agro Mandiri Perdana VS Warga 3 Desa,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Rkc4ZGJwdjZmVjA,2026-06-09T06:46:03.579413+07:00
398,2010,PT. Salonok Ladang Mas VS Warga Sembuluh,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/bEdjM3lmaVBBT2M,2026-06-09T06:46:03.579413+07:00
399,2011,PT. Agro Mandiri Perdana VS Warga Selonok,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VFZPcHRDck1iM28,2026-06-09T06:46:03.579413+07:00
400,2010,PT. Tapian Nadenggan VS Warga 3 Desa,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OGk2YUZ1M3JUYWc,2026-06-09T06:46:03.579413+07:00
401,2015,PT. Mentaya Sawit Mas VS Warga Kawan Batu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aWwtY2hkYUlnQzg,2026-06-09T06:46:05.690051+07:00
402,2015,PT. Karunia Kencana Permai Sejati VS Warga Tangar,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/RWo4XzQ3TnpIX3c,2026-06-09T06:46:05.690051+07:00
403,2015,PT. Mustika Sembuluh VS Warga Pondok Damar,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/RU8wa3BqVmZBZms,2026-06-09T06:46:05.690051+07:00
404,2015,PT. Bumi Sawit Kencana II VS Warga Pantap,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cmpnM3VHYndfcDg,2026-06-09T06:46:05.690051+07:00
405,2016,PT. Tunas Agro Subur Kencana III VS Warga Rubung Buyung,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/WkxrMDNrdzYxQ2M,2026-06-09T06:46:05.690051+07:00
406,2012,PT. Bangkit Giat Usaha Mandiri VS Luwung Talawang,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/eWVYTTllQ18xSzg,2026-06-09T06:46:05.690051+07:00
407,2011,PT. Windu Nabatindo Lestari VS Warga Pelantaran,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dXk1WWhQMUFxX0k,2026-06-09T06:46:05.690051+07:00
408,2017,PT. Hamparan Masawit Bangun Persada VS Warga Penyang,"Penyerobotan tanah adat, warga menuntut pengembalian tanah dan ganti rugi karena warga tidak dapat mengelola tanah tersebut karena dikuasai oleh perusahaan",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OGtvV2s2VTk2Q2M,2026-06-09T06:46:05.690051+07:00
409,2005,PT. Buana Artha Sejahtera VS Warga Biru Maju,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/YkVpODdFWV9BZzg,2026-06-09T06:46:05.690051+07:00
410,2011,PT. Surya Inti Sawit Kahuripan VS Warga Sumber Makmur,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dUc2Sm45cGdJdU0,2026-06-09T06:46:05.690051+07:00
411,2011,PT. Surya Inti Sawit Kahuripan VS Warga Cempaka Putih,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/SXdneEdxTjZ6bU0,2026-06-09T06:46:06.862749+07:00
412,2010,PT. Karya Makmur Bahagia VS Koperasi Bina Tani,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cTdpUHhvWVZ3LUk,2026-06-09T06:46:06.862749+07:00
413,2010,PT. Tanah Tani Lestari VS Koperasi Habaring Hurung,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/QmV4WVNvb1JTSWc,2026-06-09T06:46:06.862749+07:00
414,2010,PT. Maju Aneka Sawit VS Warga Tanah Putih,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/SXNtY3R5V0w2Qm8,2026-06-09T06:46:06.862749+07:00
415,2010,PT. Intiga Pharaba Kahuripan VS Warga Mentaya Hulu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/RzV4NGxfeTNLLUk,2026-06-09T06:46:06.862749+07:00
416,2009,PT. Wanayasa Kahuripan Indonesia VS Warga Menjalin,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Vkx2Mk5zZ25DWFk,2026-06-09T06:46:06.862749+07:00
417,2009,PT. Tunas Agro Subur Kencana VS Warga Tumbang Mujang,,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/NDBNV010blowYkk,2026-06-09T06:46:06.862749+07:00
418,2009,PT. Agro Bukit VS Warga 3 Desa,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/RDNLV01TM29HcTQ,2026-06-09T06:46:06.862749+07:00
419,2009,PT. Makin Group VS Warga Pundu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/SlhrTHhrYS1YeTg,2026-06-09T06:46:06.862749+07:00
420,2005,PT. Sukajadi Sawit Mekar VS Warga Kenyala,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TzlMbF84WUhHUlk,2026-06-09T06:46:06.862749+07:00
421,2005,PT. Menteng Jaya Sawit Perdana VS Warga Ramban,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UWFnT3BlSk14S3c,2026-06-09T06:46:08.023056+07:00
422,2017,PT. Agro Bukit VS Warga Natai Baru,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/d2l2MzNFdXdJalU,2026-06-09T06:46:08.023056+07:00
423,2006,PT. Hutanindo Agro Lestari VS Warga Wonosari,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/R1ZNUE5MMDNOSnc,2026-06-09T06:46:08.023056+07:00
424,2006,PT. Mitra Abadi Makmur VS Warga Kawan Batu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Ym84c2t3bklvYnc,2026-06-09T06:46:08.023056+07:00
425,2016,PT. Intan Permai VS Warga Buntut Bali,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TVpyclM3ZE5iWjQ,2026-06-09T06:46:08.023056+07:00
426,2009,PT. Karya Dewi Putra VS Warga Batu Badinding,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/WEN2cDY5T3VpZWc,2026-06-09T06:46:08.023056+07:00
427,2008,PT. Mantikei Batarung VS Koperasi Tahasak Batu Ambu,,Perkebunan Karet,Perkebunan,https://tanahkita.id/data/data/konflik/detil/anZ0RFltcWRJZlk,2026-06-09T06:46:08.023056+07:00
428,2008,PT. Karya Dewi utra VS Warga Mirah,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dVBveGZMM2Z2V2M,2026-06-09T06:46:08.023056+07:00
429,2008,PT. Hampalit Jaya VS Warga Hampalit,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/eWxnMVhVOU4zWWs,2026-06-09T06:46:08.023056+07:00
430,2014,PT. Agro Sawit Langkat Jaya VS Warga Bereng Bengkel,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/d1JqakhnMGlQY1k,2026-06-09T06:46:08.023056+07:00
431,2014,PT. Kapuas Maju Jaya VS Warga Pasak Talawang,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aXlKVC1YamZUZWs,2026-06-09T06:46:09.162760+07:00
432,2013,PT. Rezeki Alam Semesta Raya VS Warga Kalumpang,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VVU1UmllX0NnVjA,2026-06-09T06:46:09.162760+07:00
433,2008,PT. Rejeki Alam Semesta Raya VS Warga Mantangai,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UVp2R3F4S2Q2anM,2026-06-09T06:46:09.162760+07:00
434,2009,PT. Globalindo Agung Lestari VS Masyarakat Dadahup,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/eEFHbi0td01IcVk,2026-06-09T06:46:09.162760+07:00
435,2009,PT. Graha Inti Jaya VS Warga Desa Lamunti & Sei Ahas,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cUFfTlNTb3Zkajg,2026-06-09T06:46:09.162760+07:00
436,2007,PT. Graha Inti Jaya VS Warga Sei Kapar,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UHZLVlEwbmU4a3M,2026-06-09T06:46:09.162760+07:00
437,2009,PT. Sakti Mait Jaya Langit VS Warga Desa Lahei,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/VVlrLVFYbFpqM2c,2026-06-09T06:46:09.162760+07:00
438,2009,PT. Wana Catur Jaya Utama VS Warga Desa Dandang,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/T3F3Q0E1djN2MjA,2026-06-09T06:46:09.162760+07:00
439,2006,PT. Kalimantan Ria Sejahtera VS Warga Sei Ringin,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/NXBlZHltRWpuUEU,2026-06-09T06:46:09.162760+07:00
440,2007,PT. Dwi Warna Karya VS Warga Kapuas Hulu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cGwtUWdfVVRfQjA,2026-06-09T06:46:09.163758+07:00
441,2007,PT. Kapuas Maju Jaya VS Warga Desa Datah Kapas,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aUtSaG5zWnRHRjA,2026-06-09T06:46:10.334636+07:00
442,2016,PT. Agrindo Green Lestari VS Warga Ramang,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cEVsMTlYNlMybWM,2026-06-09T06:46:10.334636+07:00
443,2017,PT. Karya Luhur Sejati VS Warga Desa Papuyu III,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Rll0MHJiQmo1dHc,2026-06-09T06:46:10.334636+07:00
444,2007,PT. Suryamas Cipta Perkasa VS Warga Pnaduran Sebangau,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VEFjVUI2RXZOUUk,2026-06-09T06:46:10.334636+07:00
445,2010,PT. Kahayan Agro Plantation VS Koperasi Sejahtera,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/N2dpRU9GY01DSG8,2026-06-09T06:46:10.334636+07:00
446,2011,PT. Tantahan Panduhup Asi VS Masyarakat Kecamatan Rungan,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TUtQSDVHSmZpQnc,2026-06-09T06:46:10.334636+07:00
447,2013,PT. Kalimantan Hamparan Sawit VS Warga Desa Mantuhe,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/cTZiS0dCdXVCc1k,2026-06-09T06:46:10.334636+07:00
448,2006,PT. Kalimantan Hamparan Sawit VS Warga Desa Tumbang Samul,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/bWlpMk1kWmQ5eUU,2026-06-09T06:46:10.334636+07:00
449,2007,PT. Archipelago Timur Abadi VS Warga Hurung Bunut,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/TEkybHMzVDFHNkU,2026-06-09T06:46:10.334636+07:00
450,2010,PT. Archipelago Timur Abadi VS Warga Teluk Nyatu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/U0NOdDFKSTZFWWs,2026-06-09T06:46:10.334636+07:00
451,2011,PT. Agro Lestari Sentosa VS Warga Rungan,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/YW1YU2ZJZjZYR2s,2026-06-09T06:46:11.475011+07:00
452,2017,PT. Agro Lestari Sentosa VS Desa Hujung Pata,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VnNjclhXMW1BWDQ,2026-06-09T06:46:11.475011+07:00
453,2013,PT. Indo Muro Kencana VS Warga Desa Olung Halangan,,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/UlctX1gwU3N0dUU,2026-06-09T06:46:11.475011+07:00
454,2012,PT. Inhutani III VS Warga Desa Batu Tuhup,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/WnNuSk5mUGlCRmc,2026-06-09T06:46:11.475011+07:00
455,2017,PT. Sandabi Indah Lestari VS Warga Janah Jari,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/WG5jTDU1YkU2OVE,2026-06-09T06:46:11.475011+07:00
456,2011,PT. Bangun Nusantara Jaya Makmur VS Warga Desa Bentot dan Desa Lalap,,Kesehatan,Pertambangan,https://tanahkita.id/data/data/konflik/detil/dGNjN3phSWg2MEE,2026-06-09T06:46:11.475011+07:00
457,2011,PT. Sandabi Indah Lestari VS Warga Desa Bangki Rayen,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Mm1aal80a3l2WEE,2026-06-09T06:46:11.475011+07:00
458,2011,PT. Ketapang Subur Lestari VS Warga Desa Dayu,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/LXFwakZVNTBKLXM,2026-06-09T06:46:11.475011+07:00
459,2011,PT. Sumber Surya Gemilang VS Warga Desa Dayu,,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/a3dBeVNvc3owVEU,2026-06-09T06:46:11.475011+07:00
460,2011,PT. Heroes Green Indonesia VS Warga Desa Patai,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/d3htOG5BZktMZm8,2026-06-09T06:46:11.475011+07:00
461,2009,PT. Karisma Mulia Sentosa VS Warga Desa Patai,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/V1FjQzRKbXRmUmc,2026-06-09T06:46:12.616373+07:00
462,2008,PT. Bendahara Cemerlang VS PT. Intan Sari Perkasa,,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/OFhPaWVMTTJSQnM,2026-06-09T06:46:12.616373+07:00
463,2011,PT. Globalindo Agung Lestari VS Warga Kecamatan Sungai Jaya,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/bFVHS2RMekpETmM,2026-06-09T06:46:12.616373+07:00
464,2011,PT. Mata Andau Sawit Kahuripan VS PT. Sindo Lumber,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/UGNYR2tra1NITlU,2026-06-09T06:46:12.616373+07:00
465,2006,PT. Berjaya Agro Kalimantan VS Warga Kemawen,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aVEtbkRaMVNvMFU,2026-06-09T06:46:12.616373+07:00
466,2015,PT. Tamtama Perkasa VS Warga Rahaden,,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/dlBTbi1SeGVCQTg,2026-06-09T06:46:12.616373+07:00
467,2013,PT. Antang Ganda Utama VS Warga Desa Walur,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Wjg0elU0MUxITlk,2026-06-09T06:46:12.616373+07:00
468,2006,PT. Antang Ganda Utama VS Warga Desa PIR Butong,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/aUVNVVpXLU1jUmM,2026-06-09T06:46:12.616373+07:00
469,2011,PT. Wijaya Nusa Persada VS Warga Kecamatan Bintang Ninggi,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/d1o0ZWxQLXotYWs,2026-06-09T06:46:12.616373+07:00
470,2010,PT. Antang Ganda Utama VS Kelompok Tani Jantur Kilip dan Mangan Danum,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Q2FmWVRIQ0FqZmM,2026-06-09T06:46:12.616373+07:00
471,2009,Ancaman Tambang di Wilayah Adat Masyarakat Barambang Katute,"Pemerintah memberitahukan bahwa Hutan Bonto akan dijadikan hutan lindung. Warga Katute sudah diusir dan pindah dari daerah mereka, kemudian tidak lama terjadi penebangan di daerah tersebut dan akan dijadikan tambang emas. Sementara warga tidak tau hal tersebut. Semakin lama eksploitasi tambang semakin parah, pihak pemerintah dan perusahaan semakin mengintimindasi warga. Bahkan ada 11 warga yang dituduh menebang hutan pinus seluas 44.000 Ha dalam jangka waktu seminggu. Awalnya warga dijanjikan gaji yang besar apabila ikut bekerja di perusahaan tersebut dan dapat menikmati hasil panen dari pohon yang mereka tanam. Ternyata janji tinggal janji bahkan untuk masuk ke dalam hutan saja warga dilarang.",Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/eUlNMDFjSWZjUlE,2026-06-09T06:46:13.746227+07:00
472,2016,"Kisah Perjuangan Warga, merebut kembali lahan yang dikuasai PT. Rapala di Aceh Tamiang","Masyarakat empat desa, yaitu Desa Paya Rakat, Tengku Tinggi, Tanjong Lipat I, dan Desa Tanjong Lipat II telah lama berkonflik dengan perusahaan PT. Rapala, sejak tahun 1974. lahan yang disengketakan seluas 144 Hektar.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VnNXOHd0VjFJUW8,2026-06-09T06:46:13.746227+07:00
473,2017,Masyarakat dituding garap lahan Perusahaan Perkebunan,"Konflik Lahan  antara PT. Asdal Prima Lestari dengan Warga di Tiga Desa Kecamatan Trumon Timur, Aceh Selatan.",Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/dG9BNmhtcDJRUm8,2026-06-09T06:46:13.746227+07:00
474,2012,"PT. Duta Nurcahaya VS Warga Desa Muara Bakah, Juju Baru, Hurung Enep, dan Luwe Hilir",,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VTVtZW5Qb3NGR2s,2026-06-09T06:46:13.746227+07:00
475,2009,PT. Berjaya Agro Kalimantan VS Masyarakat Bintang Ninggi,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/MGIyMnRGd1ZsRlE,2026-06-09T06:46:13.746227+07:00
476,2008,PT. Antang Ganda Utama VS Kelompok Tani Bina Marga & Bela Marga,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/ejFvUzFBdGt3VEE,2026-06-09T06:46:13.746227+07:00
477,2009,PT. Antang Ganda Utama VS Kelompok Tani Bela Warga dan Pandran Jaya,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/Z0dNM2VrcWhqSWs,2026-06-09T06:46:13.746227+07:00
478,2008,PT. Antang Ganda Utama VS Warga Desa Balungai dan Baliti,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/S1B4MjFSd2M0dWM,2026-06-09T06:46:13.746227+07:00
479,2011,Wilayah Perkebunan Masyarakat  Masuk Menjadi Konsesi PT. Agro Alam Sejahtera,,Eks-Perkebunan,Perkebunan,https://tanahkita.id/data/data/konflik/detil/S0lIZmZ6Zm5rMTg,2026-06-09T06:46:13.746227+07:00
480,2010,Berubahnya Pemukiman dan Ladang warga Kuanangan Jaya menjadi Lahan HTI,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/N3g4c1FHXzNkYUE,2026-06-09T06:46:13.746227+07:00
481,2008,Tambang Emas di Pulau Romang,"Sejak ada GBU, panen pala dan cengkih turun drastis dampak pengeboran sekitar perkebunan, banyak tanaman rusak. Padahal dulu, tanaman ini komoditas andalan masyarakat. Rumput laut pun tak luput dari kerusakan bahkan sudah sulit ditemukan. Penambangan yang dilakukan juga merusak lingkungan Pulau Romang, sumber air makin sedikit bahkan ada yang sudah mengering dan keruh airnya. Suara bising yang mengganggu warga dan sempat ada ledakan seperti gempa yang menyebabkan kaca-kaca dirumah warga pecah. Selain itu banyak hal-hal negatif yang disebabkan dari perusahaan tambang tersebut",Emas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/dGhWbVE0NHhCY3M,2026-06-09T06:46:14.886006+07:00
482,2013,Suku Sawai Terusik Tambang Nikel PT. Weda Bay Nickel,"Setidaknya lima komunitas masyarakat pesisir yang terpaksa kehilangan mata pencaharian mereka akibat hilangnya tanah mereka, tiga diantaranya berada langsung di wilayah konsesi: Lelilef Woebulen, Lelilef Sawai dan Gemaf. Masing-masing desa tersebut dihuni sekitar 300 kepala keluarga. Mereka tinggal tidak jauh dari pantai, dan bertani di hutan di sekitar rumah mereka. Jika pertambangan berjalan, maka desa-desa inilah yang akan terkena dampak lingkungan pertamakalinya akibat limbah pertambangan.
Kendati PT Weda Bay Nickel tidak memaksa mereka pindah, namun komunitas ini terkena dampak langsung operasi tambang di wilayah mereka. Masyarakat terpaksa melepaskan lahan mereka akibat tekanan yang begitu kuat dari pihak perusahaan dan pemerintah setempat. Berdasar prinsip Free, Prior, Informed, Consent sejumlah pelanggaran ditemukan dalam penguasaan lahan masyarakat ini.",Nikel,Pertambangan,https://tanahkita.id/data/data/konflik/detil/S1dYYTlpemFveEk,2026-06-09T06:46:14.886006+07:00
483,2013,"PT. Nusa Halmahera Minerals di Wilayah Masyarakat Adat Pagu, Maluku Utara","Pencemaran yang terjadi di wilayah sekitar PT NHM yang berdampak pada masyarakat Pagu. Diduga bocornya pipa limbah ke sungai dan berakhir di muara teluk kao. Akibatnya warga tidak bisa mendapatkan air bersih dan takut untuk menggunakan air di sungai yang tercemar. Warga juga menjadi susah untuk mendapatkan ikan, kerang, dan udang dan takut untuk mengkonsumsinya karena air lautnya sudah tercemar mercuri dan sianida. Bahkan sudah ada warga yang terkena penyakit aneh akibat menggunakan air sungai dan mengkonsumsi ikan dari teluk kao, penyakit tersebut adalah munculnya benjolan-benjolan hampir diseluruh badan. Karena susahnya mendapat air bersih warga membawa air dari desa untuk menyiram kebun.",KesehatanEmas,Pertambangan,https://tanahkita.id/data/data/konflik/detil/ekpPMm9TNnJUZlE,2026-06-09T06:46:14.886006+07:00
484,2012,Masyarakat Adat Cek Bocek Selesek Reen Sury dan PT Newmont Nusa Tenggara,Konflik masyarakat Cek Bocek yang menolak pembangunan tambang di wilayah leluhurnya. Pemerintah tidak mengakui keberadaan suku cek bocek sehingga tanah ulayat cek bocek diberikan kepada PT. Newmont Nusa Tenggara tanpa ada kesepakatan dari suku cek bocek.,Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/X2RJVk5WRjFaYmM,2026-06-09T06:46:14.886006+07:00
485,2014,Masyarakat Adat Golo Lebo dan PT. Manggarai Manganise,"Areal konsesi tambang ini berada di atas wilayah adat suku Golo Lebo, beberapa lokasi adalah tempat keramat dan sumber mata air.
Di hulu sungai untuk kepentingan irigasi dan air minum masyarakat adat Golo Lijun dan masyarakat adat Desa Buntal menjadi terganggu. Eksplorasi pertambangan emas, mangan dan penambangan minyak akan berlangsung  selama 5 tahun dari tahapan survey sampai dengan tahapan eksplorasi, hal ini meninggalkan masalah yang mengancam masa depan masyarakat adat Golo Lebo dan masyarakat lokal. PT Manggarai Manise yang beroperasi di wilayah adat Komunitas Golo Lebo, Kec Elar, Kab Manggarai Timur, Prov Nusa Tenggara Timur terbukti ilegal. PT MM memang mempunyai IUP tetapi belum mempunyai izin pinjam pakai berdasarkan ps 38 (3) UU 41 th 1999, karena berada dalam kawasan hutan. Lebih parahnya lagi IUP eksplorasi sudah berakhir sejak 2013, sejatinya kawasan harus berstatus quo dan tidak ada aktivitas. Namun fakta dilapangan hingga saat ini perusahaan tersebut masih beroperasi, padahal belum ada perpanjangan IUP oleh Bupati.",Manufacture,Pertambangan,https://tanahkita.id/data/data/konflik/detil/MDBOMV9rU1pOOGc,2026-06-09T06:46:14.886006+07:00
486,2017,perkampungan tua sejak 1950 di klaim sebagai hutan lindung oleh KSDA Sulsel,,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/R2RZa2tqSThiMlU,2026-06-09T06:46:14.886006+07:00
487,2017,Sanggau,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OVluSmhMNTNBNFE,2026-06-09T06:46:14.886909+07:00
488,2017,Warga UPT Trans Bayang belum memperoleh legalitas atas tanah yang mereka tempati.,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/V2pmSnBnY01tT28,2026-06-09T06:46:14.886909+07:00
489,2016,Kriminalisasi terhadap warga Duyu yang memanfaatkan lahan HGB PT Duta Dharma Bhakti,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/cE9zN2tycHNmWUE,2026-06-09T06:46:14.886909+07:00
490,2017,PT PN 14 (PT SPN) menyerobot lahan warga Desa Lee,,PTPN,Perkebunan,https://tanahkita.id/data/data/konflik/detil/b2hGVkVEZHllWE0,2026-06-09T06:46:14.886909+07:00
491,2017,Konsesi PT Taman Hutan Asri membuat usulan Masyarakat untuk mendorong Hutan Desa ditolak.,,Perum Perhutani,Perkebunan,https://tanahkita.id/data/data/konflik/detil/WEpWYXVIb2pTLXc,2026-06-09T06:46:16.017947+07:00
492,2017,konflik masyarakat Adat Kalluppini dan Dinas Kehutanan Kab. Enrekang,"Ketika masyarakat adat Kalluppini yang berada ditengah hutan lindung, Pemkab Enrekang berusaha untuk memperjuangkan peraturan serta pengakuan masyarakat adat Kalluppini agar tidak tergeser oleh kemajuan di negeri ini karena adat terkadang dianggap sebagai penghambat.",Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/TUZDZXZ4cmFReGs,2026-06-09T06:46:16.017947+07:00
493,2017,konflik masyarakat komunitas adat Orong dengan kehutanan,,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/WWtZdG5XNWNfVkU,2026-06-09T06:46:16.017947+07:00
494,2016,Penghancuran Lahan Gambut oleh PT RAPP,,hutan,Hutan Produksi,https://tanahkita.id/data/data/konflik/detil/emxOQ1Qxcnlqenc,2026-06-09T06:46:16.017947+07:00
495,2017,pengambilan secara paksa kebun masyarakat Desa Lebang yang dijadikan hutan lindung oleh dinas kehutanan Enrekang,,Hutan Lindung,Hutan Lindung,https://tanahkita.id/data/data/konflik/detil/eExIMTBIS19iLVU,2026-06-09T06:46:16.017947+07:00
496,2015,Hutan Lindung Adat dan Hutan Lindung Bukit Betabuh Dirambah Perusahaan Runggu Pring Jaya,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/OEpRaF9wclNraXM,2026-06-09T06:46:16.017947+07:00
497,2017,PT BHP menyerobot tanah masyarakat Bukit Jaya,,Perkebunan Kelapa Sawit,Perkebunan,https://tanahkita.id/data/data/konflik/detil/VjhoX0tWZXRYQ0E,2026-06-09T06:46:16.017947+07:00
