,,,,,Targe,tRPJM,N 202,1: 85%,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,236,217,"91,9",236,"100,0",75,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,187,126,"67,4",187,"100,0",71,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,55,55,"100,0",55,"100,0",25,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,121,"62,1",113,"57,9",64,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,207,190,"91,8",80,"38,6",160,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,461,374,"81,1",418,"90,7",146,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,292,253,"86,6",252,"86,3",176,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,83,"89,2",77,"82,8",15,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,96,73,"76,0",96,"100,0",68,,,,,,,,,,,,,,,,,,,,
31,Maluku,215,183,"85,1",160,"74,4",30,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,147,102,"69,4",88,"59,9",43,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,161,24,"14,9",161,"100,0",48,,,,,,,,,,,,,,,,,,,,
34,Papua,428,170,"39,7",70,"16,4",57,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.203,8.521,"83,5",8.719,"85,5",2.170,,,,,,,,,,,,,,,,,,,,
No,Provinsi,PUS Peserta KB Modern,,,,,,,,,,,,,,,,,,,,,,,,,
,,RS Pemerintah/ TNI/Polri,RS Swasta,Puskesmas/ Klinik TNI/ Polri,Klinik Swasta,Praktek Dokter,Pustu/ Pusling/ Bidan Desa,Praktek Mandiri Bidan,Mobil Pelayanan KB,Toko Obat/Apotik,Lainnya,Jumlah,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),,,,,,,,,,,,,,,
1,Aceh,27.082,10.310,67.800,34.187,11.941,113.700,95.061,2.649,19.564,3.027,385.321,,,,,,,,,,,,,,,
2,Sumatera Utara,54.039,46.185,124.446,85.418,10.819,167.963,187.988,17.551,53.521,3.307,751.237,,,,,,,,,,,,,,,
3,Sumatera Barat,26.929,14.766,48.418,13.775,5.205,148.229,71.657,3.638,23.722,2.632,358.971,,,,,,,,,,,,,,,
4,Riau,12.933,19.618,42.630,37.813,11.057,125.588,124.512,2.555,37.274,1.184,415.164,,,,,,,,,,,,,,,
5,Jambi,7.849,7.731,28.561,12.938,7.186,153.615,107.842,17.203,34.686,1.688,379.299,,,,,,,,,,,,,,,
6,Sumatera Selatan,13.085,12.465,70.365,23.306,13.461,376.821,253.151,12.704,21.796,3.671,800.825,,,,,,,,,,,,,,,
7,Bengkulu,7.518,3.522,32.469,6.668,3.769,76.315,70.417,4.179,8.161,813,213.831,,,,,,,,,,,,,,,
8,Lampung,10.136,18.087,66.566,34.159,19.255,256.876,360.489,11.810,40.246,3.250,820.874,,,,,,,,,,,,,,,
9,Kep. Bangka Belitung,4.085,3.629,10.392,4.451,2.694,64.419,45.783,2.411,17.420,767,156.051,,,,,,,,,,,,,,,
10,Kepulauan Riau,7.647,9.497,19.069,11.278,3.708,24.784,28.889,846,12.801,409,118.928,,,,,,,,,,,,,,,
11,DKI Jakarta,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,
12,Jawa Barat,167.014,190.815,473.799,291.841,90.484,869.960,1.919.246,20.141,552.255,31.260,4.606.815,,,,,,,,,,,,,,,
13,Jawa Tengah,190.166,149.877,507.930,135.201,67.783,795.602,1.397.026,13.878,258.809,21.219,3.537.491,,,,,,,,,,,,,,,
14,DI Yogyakarta,29.568,22.178,51.300,26.427,6.268,12.805,96.210,297,46.065,1.124,292.242,,,,,,,,,,,,,,,
15,Jawa Timur,184.083,199.876,372.014,160.728,90.306,1.154.629,1.390.734,9.452,427.938,12.700,4.002.460,,,,,,,,,,,,,,,
16,Banten,16.294,41.843,131.488,154.803,20.358,187.794,376.827,5.838,52.197,3.558,991.000,,,,,,,,,,,,,,,
17,Bali,27.804,25.984,38.890,20.308,20.726,48.777,125.378,2.389,10.516,257,321.029,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,15.945,7.900,61.289,13.982,12.719,313.403,91.833,7.505,7.898,4.649,537.123,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,27.605,6.406,79.958,2.897,1.821,116.433,4.192,1.491,3.079,1.112,244.994,,,,,,,,,,,,,,,
20,Kalimantan Barat,10.181,7.521,49.528,20.612,7.841,182.352,91.774,1.303,26.524,2.037,399.673,,,,,,,,,,,,,,,
21,Kalimantan Tengah,4.326,1.565,24.075,7.748,2.687,104.215,45.018,1.319,25.059,1.728,217.740,,,,,,,,,,,,,,,
22,Kalimantan Selatan,8.871,4.466,34.178,12.859,6.292,153.885,95.646,6.282,88.488,18.217,429.184,,,,,,,,,,,,,,,
23,Kalimantan Timur,15.509,14.561,45.720,20.064,8.679,42.163,63.049,924,43.108,1.020,254.797,,,,,,,,,,,,,,,
24,Kalimantan Utara,2.360,310,10.445,1.411,2.838,6.985,7.402,92,5.041,141,37.025,,,,,,,,,,,,,,,
25,Sulawesi Utara,9.928,6.030,47.264,9.369,11.430,46.065,34.810,4.575,13.255,1.617,184.343,,,,,,,,,,,,,,,
26,Sulawesi Tengah,12.144,4.083,33.022,3.532,2.748,138.302,18.297,3.658,16.452,5.070,237.308,,,,,,,,,,,,,,,
27,Sulawesi Selatan,31.575,14.045,153.827,22.854,8.135,260.309,76.373,5.288,48.743,4.904,626.053,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,6.006,2.601,36.573,3.259,2.774,84.306,18.463,10.415,11.772,2.737,178.906,,,,,,,,,,,,,,,
29,Gorontalo,7.391,2.206,34.759,6.137,3.192,40.494,13.568,1.345,8.979,1.639,119.710,,,,,,,,,,,,,,,
30,Sulawesi Barat,3.506,1.058,17.335,2.133,827,50.321,8.803,1.839,5.549,1.650,93.021,,,,,,,,,,,,,,,
31,Maluku,2.337,571,13.281,1.054,545,27.692,7.152,1.472,1.459,934,56.497,,,,,,,,,,,,,,,
32,Maluku Utara,2.033,564,16.309,1.069,676,39.301,8.035,2.954,1.185,328,72.454,,,,,,,,,,,,,,,
33,Papua Barat,701,250,5.193,321,248,5.250,1.199,31,636,84,13.913,,,,,,,,,,,,,,,
34,Papua,3.674,509,17.733,1.673,634,14.050,3.189,185,1.600,323,43.570,,,,,,,,,,,,,,,
Indonesia,,950.324,851.029,2.766.626,1.184.275,459.106,6.203.403,7.240.013,178.219,1.925.798,139.056,21.897.849,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Penduduk,Perkiraan Jumlah Terduga Tuberkulosis,Perkiraan Jumlah Terduga Tuberkulosis Yang Mendapatkan Pelayanan Sesuai Standar,% Orang Terduga Tuberkulosis (TBC) Mendapatkan Pelayanan Tuberkulosis Sesuai Standar,Jumlah Semua Kasus Tuberkulosis,,,,,Case Notification Rate (CNR) Semua Kasus Tuberkulosis Per 100.000 Penduduk,Perkiraan Insiden Tuberkulosis (Dalam Absolut) *),Treatment Coverage (TC%),Kasus Tuberkulosis Anak 0-14 Tahun,Cakupan Penemuan Kasus Tuberkulosis Anak (%),,,,,,,,,,,,
,,,,,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,,,,,,,,,,,,,,,,
,,,,,,Jumlah,%,Jumlah,%,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,,,,,,,,,
1,Aceh,5.483.702,80.515,34.963,"43,4",4.448,"63,8",2.526,"36,2",6.974,"127,2",20.149,"34,6","216,0","8,9",,,,,,,,,,,,
2,Sumatera Utara,14.767.655,269.884,79.255,"29,4",14.371,"64,8",7.798,"35,2",22.169,"150,1",62.819,"35,3","883,0","11,7",,,,,,,,,,,,
3,Sumatera Barat,5.522.731,111.640,51.713,"46,3",5.036,"61,3",3.180,"38,7",8.216,"148,8",22.971,"35,8","967,0","35,1",,,,,,,,,,,,
4,Riau,7.159.392,134.303,52.533,"39,1",5.872,"63,5",3.372,"36,5",9.244,"129,1",27.634,"33,5","678,0","20,4",,,,,,,,,,,,
5,Jambi,3.693.933,31.433,14.993,"47,7",2.153,"59,8",1.445,"40,2",3.598,"97,4",13.681,"26,3","253,0","15,4",,,,,,,,,,,,
6,Sumatera Selatan,8.605.288,164.138,97.074,"59,1",8.359,"61,4",5.252,"38,6",13.611,"158,2",33.773,"40,3","988,0","24,4",,,,,,,,,,,,
7,Bengkulu,2.028.657,29.705,7.095,"23,9",1.095,"60,6",711,"39,4",1.806,"89,0",7.760,"23,3","127,0","13,6",,,,,,,,,,,,
8,Lampung,8.558.362,113.303,73.406,"64,8",6.830,"57,5",5.044,"42,5",11.874,"138,7",29.508,"40,2","1.088,0","30,7",,,,,,,,,,,,
9,Kep. Bangka Belitung,1.524.208,21.476,14.694,"68,4",948,"62,3",574,"37,7",1.522,"99,9",5.923,"25,7","129,0","18,1",,,,,,,,,,,,
10,Kepulauan Riau,2.251.976,52.684,22.763,"43,2",2.477,"61,6",1.544,"38,4",4.021,"178,6",10.840,"37,1","329,0","25,3",,,,,,,,,,,,
11,DKI Jakarta,10.691.409,230.515,124.054,"53,8",15.585,"55,4",12.540,"44,6",28.125,"263,1",47.431,"59,3","2.984,0","52,4",,,,,,,,,,,,
12,Jawa Barat,50.153.631,622.361,299.876,"48,2",49.580,"54,3",41.788,"45,7",91.368,"182,2",128.057,"71,3","13.922,0","90,6",,,,,,,,,,,,
13,Jawa Tengah,35.092.453,403.747,168.429,"41,7",23.877,"55,4",19.244,"44,6",43.121,"122,9",83.076,"51,9","5.121,0","51,4",,,,,,,,,,,,
14,DI Yogyakarta,3.899.219,43.259,18.448,"42,6",1.755,"58,0",1.270,"42,0",3.025,"77,6",9.074,"33,3","540,0","49,6",,,,,,,,,,,,
15,Jawa Timur,40.060.234,466.297,261.191,"56,0",23.372,"55,4",18.821,"44,6",42.193,"105,3",95.925,"44,0","2.779,0","24,1",,,,,,,,,,,,
16,Banten,13.217.890,178.729,98.708,"55,2",13.516,"57,9",9.827,"42,1",23.343,"176,6",33.098,"70,5","1.955,0","49,2",,,,,,,,,,,,
17,Bali,4.399.929,40.516,12.598,"31,1",1.861,"61,5",1.166,"38,5",3.027,"68,8",12.406,"24,4","115,0","7,7",,,,,,,,,,,,
18,Nusa Tenggara Barat,5.147.975,95.774,35.824,"37,4",3.632,"60,2",2.397,"39,8",6.029,"117,1",17.736,"34,0","283,0","13,3",,,,,,,,,,,,
19,Nusa Tenggara Timur,5.565.560,82.037,45.399,"55,3",2.903,"57,5",2.148,"42,5",5.051,"90,8",18.856,"26,8","256,0","11,3",,,,,,,,,,,,
20,Kalimantan Barat,5.157.153,63.607,31.893,"50,1",4.607,"63,2",2.679,"36,8",7.286,"141,3",17.233,"42,3","691,0","33,4",,,,,,,,,,,,
21,Kalimantan Tengah,2.781.232,43.589,16.707,"38,3",1.695,"59,9",1.135,"40,1",2.830,"101,8",9.380,"30,2","178,0","15,8",,,,,,,,,,,,
22,Kalimantan Selatan,4.322.749,73.321,21.225,"28,9",2.454,"60,6",1.596,"39,4",4.050,"93,7",15.087,"26,8","256,0","14,1",,,,,,,,,,,,
23,Kalimantan Timur,3.809.694,70.270,23.594,"33,6",3.063,"59,2",2.108,"40,8",5.171,"135,7",14.459,"35,8","451,0","26,0",,,,,,,,,,,,
24,Kalimantan Utara,771.856,13.471,9.296,"69,0",602,"60,5",393,"39,5",995,"128,9",2.772,"35,9","78,0","23,4",,,,,,,,,,,,
25,Sulawesi Utara,2.539.822,46.386,16.392,"35,3",3.534,"63,5",2.030,"36,5",5.564,"219,1",9.532,"58,4","197,0","17,2",,,,,,,,,,,,
26,Sulawesi Tengah,3.110.482,49.664,15.165,"30,5",2.345,"59,9",1.570,"40,1",3.915,"125,9",10.219,"38,3","136,0","11,1",,,,,,,,,,,,
27,Sulawesi Selatan,8.966.939,150.768,66.092,"43,8",8.496,"57,6",6.262,"42,4",14.758,"164,6",31.022,"47,6","515,0","13,8",,,,,,,,,,,,
28,Sulawesi Tenggara,2.767.606,39.382,17.121,"43,5",2.215,"60,2",1.463,"39,8",3.678,"132,9",9.003,"40,9","99,0","9,2",,,,,,,,,,,,
29,Gorontalo,1.224.895,20.930,13.365,"63,9",1.598,"58,4",1.136,"41,6",2.734,"223,2",4.306,"63,5","72,0","13,9",,,,,,,,,,,,
30,Sulawesi Barat,1.411.139,21.605,12.300,"56,9",1.285,"57,3",958,"42,7",2.243,"158,9",4.446,"50,4","93,0","17,4",,,,,,,,,,,,
31,Maluku,1.839.869,32.012,8.508,"26,6",1.702,"59,3",1.169,"40,7",2.871,"156,0",6.587,"43,6","174,0","22,0",,,,,,,,,,,,
32,Maluku Utara,1.284.341,19.256,7.691,"39,9",1.034,"60,1",687,"39,9",1.721,"134,0",4.193,"41,0","50,0","9,9",,,,,,,,,,,,
33,Papua Barat,986.104,17.820,6.032,"33,8",1.118,"55,6",891,"44,4",2.009,"203,7",6.516,"30,8","181,0","23,1",,,,,,,,,,,,
34,Papua,3.450.412,90.056,26.363,"29,3",5.016,"54,3",4.219,"45,7",9.235,"267,6",18.530,"49,8","1.879,0","84,5",,,,,,,,,,,,
Indonesia,,272.248.500,3.924.454,1.804.760,"46,0",228.434,"57,5",168.943,"42,5",397.377,"146,0",844.000,"47,1","38.663,0","38,2",,,,,,,,,,,,
No,Provinsi,Jumlah Kasus Tuberkulosis Paru Terkonfirmasi Bakteriologis Yang Terdaftar dan Diobati*),,,Jumlah Semua Kasus Tuberkulosis Terdaftar Dan Diobati*),,,Angka Kesembuhan (Cure Rate) Tuberkulosis Paru Terkonfirmasi Bakteriologis,,,,,,Angka Pengobatan Lengkap (Complete Rate) Semua Kasus Tuberkulosis,,,,,,Angka Keberhasilan Pengobatan (Success Rate/SR) Semua Kasus Tuberkulosis,,,,,,Jumlah Kematian Selama Pengobatan Tuberkulosis,
,,,,,,,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,,
,,L,P,L + P,L,P,L + P,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28)
1,Aceh,2.149,1.146,3.295,4.174,2.513,6.687,624,"29,0",339,"29,6",963,"29,2",3.055,"73,2",1.954,"77,8",5.009,"74,9",3.679,"88,1",2.293,"91,2",5.972,"89,3",249,"3,7"
2,Sumatera Utara,6.572,3.442,10.014,14.090,7.816,21.906,2.274,"34,6",1.212,"35,2",3.486,"34,8",10.353,"73,5",5.937,"76,0",16.290,"74,4",12.627,"89,6",7.149,"91,5",19.776,"90,3",327,"1,5"
3,Sumatera Barat,2.319,1.320,3.639,3.794,2.460,6.254,1.183,"51,0",702,"53,2",1.885,"51,8",2.148,"56,6",1.552,"63,1",3.700,"59,2",3.331,"87,8",2.254,"91,6",5.585,"89,3",492,"7,9"
4,Riau,3.042,1.619,4.661,5.470,3.328,8.798,1.107,"36,4",583,"36,0",1.690,"36,3",3.959,"72,4",2.549,"76,6",6.508,"74,0",5.066,"92,6",3.132,"94,1",8.198,"93,2",76,"0,9"
5,Jambi,1.238,734,1.972,2.011,1.253,3.264,437,"35,3",268,"36,5",705,"35,8",1.368,"68,0",862,"68,8",2.230,"68,3",1.805,"89,8",1.130,"90,2",2.935,"89,9",168,"5,1"
6,Sumatera Selatan,3.584,2.202,5.786,6.047,3.895,9.942,1.244,"34,7",792,"36,0",2.036,"35,2",4.151,"68,6",2.729,"70,1",6.880,"69,2",5.395,"89,2",3.521,"90,4",8.916,"89,7",834,"8,4"
7,Bengkulu,579,320,899,1.030,637,1.667,157,"27,1",102,"31,9",259,"28,8",749,"72,7",465,"73,0",1.214,"72,8",906,"88,0",567,"89,0",1.473,"88,4",97,"5,8"
8,Lampung,3.801,2.527,6.328,6.785,4.785,11.570,1.689,"44,4",1.198,"47,4",2.887,"45,6",4.703,"69,3",3.388,"70,8",8.091,"69,9",6.392,"94,2",4.586,"95,8",10.978,"94,9",158,"1,4"
9,Kep. Bangka Belitung,604,354,958,1.004,622,1.626,189,"31,3",106,"29,9",295,"30,8",661,"65,8",443,"71,2",1.104,"67,9",850,"84,7",549,"88,3",1.399,"86,0",1.898,"116,7"
10,Kepulauan Riau,1.178,749,1.927,2.256,1.576,3.832,282,"23,9",195,"26,0",477,"24,8",1.623,"71,9",1.201,"76,2",2.824,"73,7",1.905,"84,4",1.396,"88,6",3.301,"86,1",1.696,"44,3"
11,DKI Jakarta,6.729,4.191,10.920,14.569,10.794,25.363,2.260,"33,6",1.423,"34,0",3.683,"33,7",9.083,"62,3",7.353,"68,1",16.436,"64,8",11.343,"77,9",8.776,"81,3",20.119,"79,3",2.154,"8,5"
12,Jawa Barat,17.726,12.865,30.591,46.404,38.118,84.522,6.223,"35,1",4.749,"36,9",10.972,"35,9",31.333,"67,5",27.366,"71,8",58.699,"69,4",37.556,"80,9",32.115,"84,3",69.671,"82,4",307,"0,4"
13,Jawa Tengah,10.941,7.999,18.940,22.995,18.274,41.269,4.562,"41,7",3.548,"44,4",8.110,"42,8",14.969,"65,1",12.631,"69,1",27.600,"66,9",19.531,"84,9",16.179,"88,5",35.710,"86,5",200,"0,5"
14,DI Yogyakarta,656,457,1.113,1.676,1.336,3.012,285,"43,4",228,"49,9",513,"46,1",1.160,"69,2",976,"73,1",2.136,"70,9",1.445,"86,2",1.204,"90,1",2.649,"87,9",79,"2,6"
15,Jawa Timur,12.537,9.075,21.612,24.466,19.559,44.025,5.999,"47,9",4.415,"48,7",10.414,"48,2",15.455,"63,2",13.396,"68,5",28.851,"65,5",21.454,"87,7",17.811,"91,1",39.265,"89,2",262,"0,6"
16,Banten,4.754,3.059,7.813,12.186,9.106,21.292,2.075,"43,6",1.318,"43,1",3.393,"43,4",8.833,"72,5",6.953,"76,4",15.786,"74,1",10.908,"89,5",8.271,"90,8",19.179,"90,1",56,"0,3"
17,Bali,972,557,1.529,1.766,1.171,2.937,459,"47,2",283,"50,8",742,"48,5",989,"56,0",717,"61,2",1.706,"58,1",1.448,"82,0",1.000,"85,4",2.448,"83,4",107,"3,6"
18,Nusa Tenggara Barat,2.238,1.379,3.617,3.335,2.205,5.540,1.296,"57,9",810,"58,7",2.106,"58,2",1.695,"50,8",1.199,"54,4",2.894,"52,2",2.991,"89,7",2.009,"91,1",5.000,"90,3",162,"2,9"
19,Nusa Tenggara Timur,1.800,1.382,3.182,3.063,2.415,5.478,484,"26,9",399,"28,9",883,"27,7",2.215,"72,3",1.746,"72,3",3.961,"72,3",2.699,"88,1",2.145,"88,8",4.844,"88,4",373,"6,8"
20,Kalimantan Barat,2.425,1.191,3.616,4.405,2.422,6.827,915,"37,7",459,"38,5",1.374,"38,0",2.601,"59,0",1.511,"62,4",4.112,"60,2",3.516,"79,8",1.970,"81,3",5.486,"80,4",80,"1,2"
21,Kalimantan Tengah,919,463,1.382,1.592,912,2.504,331,"36,0",168,"36,3",499,"36,1",996,"62,6",601,"65,9",1.597,"63,8",1.327,"83,4",769,"84,3",2.096,"83,7",84,"3,4"
22,Kalimantan Selatan,1.100,664,1.764,2.148,1.365,3.513,367,"33,4",249,"37,5",616,"34,9",1.398,"65,1",924,"67,7",2.322,"66,1",1.765,"82,2",1.173,"85,9",2.938,"83,6",291,"8,3"
23,Kalimantan Timur,1.156,643,1.799,2.789,1.884,4.673,237,"20,5",157,"24,4",394,"21,9",2.034,"72,9",1.426,"75,7",3.460,"74,0",2.271,"81,4",1.583,"84,0",3.854,"82,5",342,"7,3"
24,Kalimantan Utara,394,229,623,602,376,978,77,"19,5",59,"25,8",136,"21,8",345,"57,3",220,"58,5",565,"57,8",422,"70,1",279,"74,2",701,"71,7",350,"35,8"
25,Sulawesi Utara,2.205,1.223,3.428,3.141,1.786,4.927,946,"42,9",526,"43,0",1.472,"42,9",1.886,"60,0",1.106,"61,9",2.992,"60,7",2.832,"90,2",1.632,"91,4",4.464,"90,6",72,"1,5"
26,Sulawesi Tengah,1.485,937,2.422,2.549,1.631,4.180,291,"19,6",176,"18,8",467,"19,3",1.952,"76,6",1.301,"79,8",3.253,"77,8",2.243,"88,0",1.477,"90,6",3.720,"89,0",366,"8,8"
27,Sulawesi Selatan,4.565,3.195,7.760,7.134,5.061,12.195,1.830,"40,1",1.341,"42,0",3.171,"40,9",4.275,"59,9",3.202,"63,3",7.477,"61,3",6.105,"85,6",4.543,"89,8",10.648,"87,3",100,"0,8"
28,Sulawesi Tenggara,1.240,794,2.034,1.919,1.229,3.148,447,"36,0",312,"39,3",759,"37,3",1.267,"66,0",803,"65,3",2.070,"65,8",1.714,"89,3",1.115,"90,7",2.829,"89,9",696,"22,1"
29,Gorontalo,865,630,1.495,1.339,989,2.328,327,"37,8",226,"35,9",553,"37,0",860,"64,2",672,"67,9",1.532,"65,8",1.187,"88,6",898,"90,8",2.085,"89,6",240,"10,3"
30,Sulawesi Barat,780,580,1.360,1.160,841,2.001,238,"30,5",191,"32,9",429,"31,5",794,"68,4",596,"70,9",1.390,"69,5",1.032,"89,0",787,"93,6",1.819,"90,9",191,"9,5"
31,Maluku,635,455,1.090,1.182,907,2.089,267,"42,0",202,"44,4",469,"43,0",750,"63,5",603,"66,5",1.353,"64,8",1.017,"86,0",805,"88,8",1.822,"87,2",191,"9,1"
32,Maluku Utara,595,424,1.019,868,617,1.485,154,"25,9",104,"24,5",258,"25,3",540,"62,2",386,"62,6",926,"62,4",694,"80,0",490,"79,4",1.184,"79,7",311,"20,9"
33,Papua Barat,487,343,830,857,745,1.602,104,"21,4",68,"19,8",172,"20,7",507,"59,2",507,"68,1",1.014,"63,3",611,"71,3",575,"77,2",1.186,"74,0",375,"23,4"
34,Papua,2.186,1.617,3.803,4.903,3.953,8.856,761,"34,8",546,"33,8",1.307,"34,4",2.734,"55,8",2.338,"59,1",5.072,"57,3",3.495,"71,3",2.884,"73,0",6.379,"72,0",764,"8,6"
Indonesia,,104.456,68.765,173.221,213.709,156.581,370.290,40.121,"38,4",27.454,"39,9",67.575,"39,0",141.441,"66,2",109.613,"70,0",251.054,"67,8",181.562,"85,0",137.067,"87,5",318.629,"86,0",14.148,"3,8"
No,Provinsi,Jumlah Balita,Prevalensi Pneumonia Pada Balita (%),Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,,,,
,,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%),,,
,,,,,< 1 Tahun,,1-4 Tahun,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,< 1 Tahun,,1-4 Tahun,,L,P,L+P,,,,
,,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),,,
1,Aceh,532.353,"4,46",23.743,147,141,540,421,23,7,20,19,730,588,1.318,"5,55",4,2,6,21,10,23,33,"2,50",,,
2,Sumatera Utara,1.479.131,"2,99",44.226,519,510,1.144,1.054,38,9,16,55,1.717,1.628,3.345,"7,56",5,4,9,11,14,15,29,"0,87",,,
3,Sumatera Barat,499.694,"3,91",19.538,522,466,1.358,1.067,57,31,52,42,1.989,1.606,3.595,"18,40",0,1,1,7,1,8,9,"0,25",,,
4,Riau,676.218,"2,67",18.055,285,268,552,399,6,13,47,25,890,705,1.595,"8,83",1,2,3,0,4,2,6,"0,38",,,
5,Jambi,364.183,"3,15",11.472,160,158,451,332,24,9,18,11,653,510,1.163,"10,14",0,0,0,0,0,0,0,"0,00",,,
6,Sumatera Selatan,874.326,"3,61",31.563,598,529,1.483,1.215,52,39,41,42,2.174,1.825,3.999,"12,67",0,0,0,0,0,0,0,"0,00",,,
7,Bengkulu,197.709,"2,00",3.954,41,49,112,89,10,5,12,12,175,155,330,"8,35",0,0,0,2,0,2,2,"1,03",,,
8,Lampung,769.682,"2,23",17.164,961,925,2.374,2.085,68,38,286,235,3.689,3.283,6.972,"40,62",1,0,1,0,2,0,2,"0,05",,,
9,Kep. Bangka Belitung,140.236,"6,05",8.484,207,201,762,681,1,3,19,16,989,901,1.890,"22,28",0,1,1,1,1,2,3,"0,29",,,
10,Kepulauan Riau,140.236,"3,98",5.581,191,161,431,284,5,4,10,6,637,455,1.092,"19,56",0,0,0,0,0,0,0,"0,00",,,
11,DKI Jakarta,1.110.093,"4,62",51.286,2.346,1.978,4.583,3.895,34,23,21,28,6.984,5.924,12.908,"25,17",0,0,0,0,0,0,0,"0,00",,,
12,Jawa Barat,4.835.292,"4,24",205.016,10.803,10.258,23.229,20.676,578,443,659,539,35.269,31.916,67.185,"32,77",9,9,18,5,27,14,41,"0,13",,,
13,Jawa Tengah,2.652.751,"3,61",95.764,4.554,4.094,14.060,11.893,376,306,352,343,19.342,16.636,35.978,"37,57",18,20,38,14,56,34,90,"0,58",,,
14,DI Yogyakarta,293.068,"4,32",12.661,248,126,440,318,11,3,16,16,715,463,1.178,"9,30",3,5,8,2,11,7,18,"3,67",,,
15,Jawa Timur,3.330.329,"4,45",148.200,8.694,8.772,28.387,26.467,438,325,544,444,38.063,36.008,74.071,"49,98",4,6,10,5,14,11,25,"0,08",,,
16,Banten,1.236.601,"4,12",50.948,3.851,3.411,8.061,7.617,171,131,153,135,12.236,11.294,23.530,"46,18",2,1,3,2,5,3,8,"0,07",,,
17,Bali,440.876,"2,05",9.038,436,320,884,635,113,61,63,72,1.496,1.088,2.584,"28,59",4,5,9,5,13,10,23,"3,20",,,
18,Nusa Tenggara Barat,522.598,"6,38",33.342,2.347,1.817,3.720,3.178,214,174,265,198,6.546,5.367,11.913,"35,73",4,3,7,0,11,3,14,"0,43",,,
19,Nusa Tenggara Timur,579.310,"4,28",24.794,386,335,468,390,34,28,27,18,915,771,1.686,"6,80",8,4,12,2,20,6,26,"5,86",,,
20,Kalimantan Barat,469.747,"2,12",9.959,134,123,253,167,11,10,18,19,416,319,735,"7,38",8,5,13,12,21,17,38,"13,44",,,
21,Kalimantan Tengah,265.371,"4,37",11.597,149,139,291,218,74,62,79,50,593,469,1.062,"9,16",1,3,4,1,5,4,9,"2,29",,,
22,Kalimantan Selatan,415.761,"5,53",22.992,811,622,1.594,1.233,84,47,50,52,2.539,1.954,4.493,"19,54",2,0,2,2,4,2,6,"0,37",,,
23,Kalimantan Timur,393.378,"2,86",11.251,314,211,554,419,7,5,2,7,877,642,1.519,"13,50",0,1,1,0,1,1,2,"0,38",,,
24,Kalimantan Utara,75.361,"2,86",2.155,177,62,255,176,4,2,6,3,442,243,685,"31,78",0,0,0,0,0,0,0,"0,00",,,
25,Sulawesi Utara,238.270,"2,68",6.386,53,26,94,102,0,2,3,1,150,131,281,"4,40",2,0,2,0,4,0,4,"4,27",,,
26,Sulawesi Tengah,296.292,"5,19",15.378,855,703,1.660,1.328,51,16,33,22,2.599,2.069,4.668,"30,36",0,0,0,5,0,5,5,"0,34",,,
27,Sulawesi Selatan,884.870,"3,79",33.537,477,417,798,620,56,15,27,33,1.358,1.085,2.443,"7,28",2,1,3,4,5,5,10,"1,39",,,
