,,Targe,t Renstra 20,19 : 90%,,,,,,,,,,,,,,,,,,,,,,,
34,Papua,2,4,6,0,2,2,56,68,124,,,,,,,,,,,,,,,,,
Indonesia,,228,1.240,1.468,74,134,208,146,300,446,,,,,,,,,,,,,,,,,
No,Provinsi,Tenaga Psikologi Klinis,,,Tenaga Kesehatan Tradisional,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tenaga Kesehatan Tradisional Ramuan,,,Tenaga Kesehatan Tradisional Keterampilan,,,,,,,,,,,,,,,,,,,
,,L,P,L + P,L,P,L + P,L,P,L + P,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,,,,,,,,,,,,,,,,
1,Aceh,4,8,12,0,0,0,0,4,4,,,,,,,,,,,,,,,,,
2,Sumatera Utara,0,12,12,0,2,2,0,2,2,,,,,,,,,,,,,,,,,
3,Sumatera Barat,0,0,0,0,6,6,0,0,0,,,,,,,,,,,,,,,,,
4,Riau,0,4,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
5,Jambi,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,6,6,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
7,Bengkulu,2,4,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
8,Lampung,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,4,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
11,DKI Jakarta,12,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
12,Jawa Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
13,Jawa Tengah,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,6,128,134,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
15,Jawa Timur,14,2,16,10,40,50,10,40,50,,,,,,,,,,,,,,,,,
16,Banten,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
17,Bali,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,0,4,4,2,0,2,0,0,0,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,0,0,0,2,4,6,0,0,0,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,0,12,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,0,6,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,2,4,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,2,10,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
29,Gorontalo,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
31,Maluku,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
32,Maluku Utara,0,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
33,Papua Barat,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
34,Papua,2,0,2,0,2,2,56,68,124,,,,,,,,,,,,,,,,,
Indonesia,,54,208,262,14,54,68,66,114,180,,,,,,,,,,,,,,,,,
FASILITAS KESEHATAN TINGKAT PERTAMA YANG BEKERJA SAMA DENGAN BPJS KESEHATAN TAHUN 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Fasilitas Kesehatan Tingkat Pertama,,,,,Total,,,,,,,,,,,,,,,,,,,,
,,Dokter Praktik Perorangan,Klinik Pratama,Puskesmas,RS Tipe D Pratama,Lainnya,,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(8),(9),,,,,,,,,,,,,,,,,,,,
1,Aceh,82,178,353,0,3,616,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,139,543,586,2,9,1.279,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,115,150,274,2,36,577,,,,,,,,,,,,,,,,,,,,
4,Riau,91,269,227,0,24,611,,,,,,,,,,,,,,,,,,,,
5,Jambi,84,73,196,0,16,369,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,247,218,341,0,46,852,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,95,43,179,1,17,335,,,,,,,,,,,,,,,,,,,,
8,Lampung,137,185,310,0,10,642,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,33,32,64,1,5,135,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,13,127,81,0,1,222,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,18,349,324,0,1,692,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,536,1354,1066,0,67,3.023,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,1156,704,878,1,306,3.045,,,,,,,,,,,,,,,,,,,,
14,D I Yogyakarta,112,118,121,0,37,388,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,756,777,967,0,222,2.722,,,,,,,,,,,,,,,,,,,,
16,Banten,13,424,242,0,3,682,,,,,,,,,,,,,,,,,,,,
17,Bali,334,119,120,4,91,668,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,100,53,166,1,12,332,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,94,84,403,1,32,614,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,83,86,245,0,13,427,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,75,60,201,0,7,343,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,163,104,234,0,40,541,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,126,152,185,2,44,509,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,30,21,51,3,6,111,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,168,60,191,0,30,449,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,47,50,205,4,12,318,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,214,215,458,1,82,970,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,66,40,286,1,10,403,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,35,33,93,0,7,168,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,36,20,94,1,5,156,,,,,,,,,,,,,,,,,,,,
31,Maluku,34,24,205,0,8,271,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,38,21,136,2,10,207,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,25,21,155,0,3,204,,,,,,,,,,,,,,,,,,,,
34,Papua,59,59,413,5,13,549,,,,,,,,,,,,,,,,,,,,
Total,,5.354,6.766,10.050,32,1.228,23.430,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Jumlah Puskesmas,Puskesmas Melaksanakan Kelas Ibu Hamil,,Puskesmas Melaksanakan P4K,,Jumlah RTK,,,,,,,,,,,,,,,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,,,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),,,,,,,,,,,,,,,,,,,,
1,Aceh,359,323,"89,97",310,"86,35",1,,,,,,,,,,,,,,,,,,,,
2,Sumatera Utara,601,596,"99,17",586,"97,50",187,,,,,,,,,,,,,,,,,,,,
3,Sumatera Barat,275,272,"98,91",271,"98,55",12,,,,,,,,,,,,,,,,,,,,
4,Riau,226,194,"85,84",223,"98,67",42,,,,,,,,,,,,,,,,,,,,
5,Jambi,204,204,"100,00",204,"100,00",0,,,,,,,,,,,,,,,,,,,,
6,Sumatera Selatan,342,340,"99,42",340,"99,42",0,,,,,,,,,,,,,,,,,,,,
7,Bengkulu,180,179,"99,44",178,"98,89",61,,,,,,,,,,,,,,,,,,,,
8,Lampung,310,310,"100,00",310,"100,00",21,,,,,,,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,"100,00",64,"100,00",5,,,,,,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,83,"96,51",71,"82,56",0,,,,,,,,,,,,,,,,,,,,
11,DKI Jakarta,315,315,"100,00",315,"100,00",0,,,,,,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,1.043,"97,29",1.043,"97,29",0,,,,,,,,,,,,,,,,,,,,
13,Jawa Tengah,878,853,"97,15",846,"96,36",0,,,,,,,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,"100,00",121,"100,00",0,,,,,,,,,,,,,,,,,,,,
15,Jawa Timur,968,965,"99,69",947,"97,83",10,,,,,,,,,,,,,,,,,,,,
16,Banten,243,242,"99,59",242,"99,59",0,,,,,,,,,,,,,,,,,,,,
17,Bali,120,120,"100,00",120,"100,00",40,,,,,,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,169,"100,00",169,"100,00",3,,,,,,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,411,"102,24",411,"102,24",0,,,,,,,,,,,,,,,,,,,,
20,Kalimantan Barat,246,231,"93,90",233,"94,72",16,,,,,,,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,168,"82,76",201,"99,01",86,,,,,,,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,231,"98,30",222,"94,47",6,,,,,,,,,,,,,,,,,,,,
23,Kalimantan Timur,186,184,"98,92",184,"98,92",42,,,,,,,,,,,,,,,,,,,,
24,Kalimantan Utara,56,54,"96,43",53,"94,64",22,,,,,,,,,,,,,,,,,,,,
25,Sulawesi Utara,195,193,"98,97",193,"98,97",0,,,,,,,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,90,"43,69",171,"83,01",0,,,,,,,,,,,,,,,,,,,,
27,Sulawesi Selatan,458,455,"99,34",442,"96,51",171,,,,,,,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,257,"88,62",290,"100,00",128,,,,,,,,,,,,,,,,,,,,
29,Gorontalo,93,92,"98,92",67,"72,04",0,,,,,,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,95,"100,00",94,"98,95",43,,,,,,,,,,,,,,,,,,,,
31,Maluku,209,181,"86,60",176,"84,21",7,,,,,,,,,,,,,,,,,,,,
32,Maluku Utara,148,143,"96,62",143,"96,62",0,,,,,,,,,,,,,,,,,,,,
33,Papua Barat,159,73,"45,91",25,"15,72",2,,,,,,,,,,,,,,,,,,,,
34,Papua,420,188,"44,76",218,"51,90",0,,,,,,,,,,,,,,,,,,,,
Indonesia,,10.134,9.439,"93,14",9.483,"93,58",905,,,,,,,,,,,,,,,,,,,,
No,Provinsi,PUS Peserta KB,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fasilitas Kesehatan Rujukan Tingkat Lanjut (FKRTL),,,,,,,Fasilitas Kesehatan Tingkat Pertama (FKTP),,,,,,Jejaring,,,,,Pelayanan Bergerak,%,,%,,,,
,,RSUP/RSUD,RS TNI,RS Polri,RS Swasta,Klinik Utama,Jumlah,%,Puskesmas,Klinik Pratama,Praktek Dokter,RS Pratama,Jumlah,%,Pustu/Pusling/ Bidan Desa,Poskesdes/Poli ndes,Praktek Bidan,Jumlah,%,,,Lainnya,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),,,,
1,Aceh,7.486,361,170,1.027,1.510,10.554,"1,6",103.791,2.314,6.087,134,112.326,"16,9",76.936,35.821,97.211,209.968,"31,6",3.625,"0,5",29.720,"4,5",,,,
2,Sumatera Utara,47.671,3.721,1.701,16.463,9.752,79.308,"4,7",142.793,13.387,14.585,4.853,175.618,"10,3",141.028,31.803,297.068,469.899,"27,7",29.875,"1,8",117.194,"6,9",,,,
3,Sumatera Barat,18.726,1.228,345,4.055,1.748,26.102,"3,5",82.903,2.220,5.349,219,90.691,"12,3",130.765,30.613,121.526,282.904,"38,3",4.714,"0,6",23.825,"3,2",,,,
4,Riau,11.756,431,411,5.221,4.819,22.638,"2,9",77.674,3.945,9.958,3.921,95.498,"12,1",85.786,17.395,142.294,245.475,"31,2",6.624,"0,8",42.366,"5,4",,,,
5,Jambi,5.432,420,302,2.708,2.972,11.834,"1,9",66.518,2.468,5.117,142,74.245,"11,8",142.359,21.994,128.543,292.896,"46,4",15.785,"2,5",43.866,"7,0",,,,
6,Sumatera Selatan,10.157,556,368,3.488,1.223,15.792,"1,3",129.322,1.988,8.511,398,140.219,"11,3",154.947,130.198,337.556,622.701,"50,4",17.014,"1,4",30.782,"2,5",,,,
7,Bengkulu,4.801,223,244,1.017,589,6.874,"2,2",44.076,620,1.863,81,46.640,"14,7",83.384,10.204,61.033,154.621,"48,9",7.968,"2,5",9.944,"3,1",,,,
8,Lampung,12.125,495,280,4.416,3.564,20.880,"1,7",164.789,3.974,11.502,662,180.927,"14,7",198.252,34.370,364.351,596.973,"48,5",8.634,"0,7",44.052,"3,6",,,,
9,Kep. Bangka Belitung,1.995,47,17,919,577,3.555,"1,7",10.521,507,2.021,101,13.150,"6,2",35.694,24.361,47.970,108.025,"50,7",3.128,"1,5",17.344,"8,1",,,,
10,Kepulauan Riau,8.976,265,31,2.512,2.317,14.101,"5,2",18.351,2.262,3.396,91,24.100,"8,9",15.230,6.305,44.682,66.217,"24,6",950,"0,4",21.772,"8,1",,,,
11,DKI Jakarta,22.385,4.384,1.465,40.425,8.905,77.564,"7,6",154.772,14.666,31.941,1.163,202.542,"19,7",4.698,938,219.667,225.303,"21,9",7.470,"0,7",75.286,"7,3",,,,
12,Jawa Barat,128.652,23.635,7.543,93.793,29.907,283.530,"3,6",779.618,33.734,106.755,3.905,924.012,"11,6",875.687,99.365,2.555.587,3.530.639,"44,3",65.662,"0,8",517.774,"6,5",,,,
13,Jawa Tengah,167.119,9.675,2.598,58.488,11.293,249.173,"4,2",577.008,17.316,78.016,3.950,676.290,"11,4",661.209,155.951,1.843.701,2.660.861,"44,7",28.170,"0,5",278.453,"4,7",,,,
14,DI Yogyakarta,25.093,1.543,559,13.613,2.203,43.011,"8,0",90.885,3.208,9.724,387,104.204,"19,3",11.237,1.914,128.687,141.838,"26,3",1.537,"0,3",32.861,"6,1",,,,
15,Jawa Timur,55.453,5.747,3.196,30.583,7.223,102.202,"1,6",194.601,7.762,43.994,20.472,266.829,"4,2",223.779,129.814,615.922,969.515,"15,3",11.643,"0,2",2.800.982,"44,2",,,,
16,Banten,38.731,1.494,539,22.254,12.606,75.624,"4,4",195.373,14.891,23.016,2.171,235.451,"13,7",202.007,21.556,477.417,700.980,"40,7",23.848,"1,4",91.820,"5,3",,,,
17,Bali,17.046,604,428,8.989,980,28.047,"5,1",75.597,2.191,22.843,183,100.814,"18,2",34.013,8.150,178.344,220.507,"39,8",2.487,"0,4",22.074,"4,0",,,,
18,Nusa Tenggara Barat,11.760,1.009,564,1.775,1.214,16.322,"1,8",106.466,2.646,9.255,558,118.925,"13,1",137.556,164.161,82.596,384.313,"42,3",11.205,"1,2",44.844,"4,9",,,,
19,Nusa Tenggara Timur,10.908,274,165,839,519,12.705,"2,7",79.254,502,1.101,92,80.949,"17,3",45.267,28.285,2.737,76.289,"16,3",1.598,"0,3",9.173,"2,0",,,,
20,Kalimantan Barat,3.225,585,1.211,3.173,2.291,10.485,"2,5",61.150,2.014,3.326,396,66.886,"16,0",54.645,54.079,48.279,157.003,"37,5",3.174,"0,8",19.158,"4,6",,,,
21,Kalimantan Tengah,1.939,272,257,335,756,3.559,"1,1",47.445,1.037,1.689,5.684,55.855,"17,8",66.772,24.899,38.180,129.851,"41,3",2.137,"0,7",29.545,"9,4",,,,
22,Kalimantan Selatan,5.166,429,171,835,1.158,7.759,"1,2",70.394,1.958,5.091,75,77.518,"11,9",114.590,33.499,123.350,271.439,"41,7",11.041,"1,7",89.245,"13,7",,,,
23,Kalimantan Timur,9.661,1.148,336,7.427,2.770,21.342,"4,1",74.987,2.859,10.290,429,88.565,"16,9",27.502,10.989,103.215,141.706,"27,1",3.286,"0,6",40.634,"7,8",,,,
24,Kalimantan Utara,1.323,89,20,251,465,2.148,"2,7",11.048,417,2.086,46,13.597,"17,0",6.509,691,10.156,17.356,"21,7",863,"1,1",6.326,"7,9",,,,
25,Sulawesi Utara,9.496,1.183,894,2.181,2.289,16.043,"4,0",77.823,1.892,13.874,975,94.564,"23,8",47.691,9.901,54.342,111.934,"28,1",11.678,"2,9",31.683,"8,0",,,,
26,Sulawesi Tengah,6.115,201,123,790,682,7.911,"1,7",58.754,1.563,2.034,121,62.472,"13,3",110.762,45.842,28.633,185.237,"39,3",6.034,"1,3",34.532,"7,3",,,,
27,Sulawesi Selatan,22.308,2.390,1.284,7.064,2.966,36.012,"2,9",227.333,3.145,8.120,1.346,239.944,"19,0",272.332,55.083,105.924,433.339,"34,3",13.265,"1,1",64.070,"5,1",,,,
28,Sulawesi Tenggara,5.688,1.837,1.469,1.783,2.178,12.955,"4,0",53.300,1.490,2.264,443,57.497,"17,6",57.387,13.477,18.005,88.869,"27,2",5.496,"1,7",17.601,"5,4",,,,
29,Gorontalo,4.278,78,25,450,370,5.201,"2,9",44.958,904,1.937,40,47.839,"26,7",20.096,8.878,15.030,44.004,"24,6",6.623,"3,7",15.180,"8,5",,,,
30,Sulawesi Barat,1.860,59,16,260,347,2.542,"1,3",27.905,461,622,32,29.020,"14,7",47.578,8.638,12.627,68.843,"34,8",2.384,"1,2",8.125,"4,1",,,,
31,Maluku,1.945,397,88,276,373,3.079,"1,4",33.737,506,637,18,34.898,"15,8",25.934,3.782,11.940,41.656,"18,9",1.720,"0,8",6.547,"3,0",,,,
32,Maluku Utara,1.820,46,20,105,324,2.315,"1,3",29.717,272,475,22,30.486,"17,6",30.730,8.190,13.802,52.722,"30,4",2.332,"1,3",3.315,"1,9",,,,
33,Papua Barat,1.066,208,83,65,91,1.513,"1,2",12.234,60,225,5,12.524,"9,9",4.471,1.143,1.332,6.946,"5,5",122,"0,1",2.238,"1,8",,,,
34,Papua,1.528,403,9,122,332,2.394,"2,9",19.625,211,514,156,20.506,"24,8",5.721,299,2.430,8.450,"10,2",216,"0,3",2.029,"2,5",,,,
Indonesia,,683.690,65.437,26.932,337.702,121.313,1.235.074,"3,2",3.944.722,149.390,448.218,53.271,4.595.601,"11,9",4.152.554,1.232.588,8.334.137,13.719.279,"35,5",322.308,"0,8",4.624.360,"12,0",,,,
No,Provinsi,Jumlah Puskesmas,Puskesmas,,,,,,,,,,,,,,,,,,,,,,,,
,,,Melaksanakan Orientasi P4K,,Melaksanakan Kegiatan Kesehatan Remaja,,Melaksanakan Penjaringan Kesehatan Kelas 1,,Melaksanakan Penjaringan Kesehatan Kelas 7 Dan 10,,Melaksanakan Penjaringan Kesehatan Kelas 1. 7. 10,,,,,,,,,,,,,,,,
,,,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,Jumlah,%,,,,,,,,,,,,,,,
(1),(2),(3),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),,,,,,,,,,,,,,,
1,Aceh,359,310,"86,35",167,"46,52",332,"92,48",317,"88,3",306,"85,24",,,,,,,,,,,,,,,
2,Sumatera Utara,601,586,"97,5",348,"57,9",573,"95,34",566,"94,18",566,"94,18",,,,,,,,,,,,,,,
3,Sumatera Barat,275,271,"98,55",247,"89,82",257,"93,45",255,"92,73",248,"90,18",,,,,,,,,,,,,,,
4,Riau,226,222,"98,23",222,"98,23",308,"136,28",302,"133,63",303,"134,07",,,,,,,,,,,,,,,
5,Jambi,204,204,100,193,"94,61",204,100,204,100,204,100,,,,,,,,,,,,,,,
6,Sumatera Selatan,342,340,"99,42",242,"70,76",300,"87,72",290,"84,8",280,"81,87",,,,,,,,,,,,,,,
7,Bengkulu,180,178,"98,89",145,"80,56",166,"92,22",161,"89,44",160,"88,89",,,,,,,,,,,,,,,
8,Lampung,310,310,100,289,"93,23",309,"99,68",306,"98,71",303,"97,74",,,,,,,,,,,,,,,
9,Kepulauan Bangka Belitung,64,64,100,64,100,64,100,64,100,64,100,,,,,,,,,,,,,,,
10,Kepulauan Riau,86,71,"82,56",61,"70,93",84,"97,67",83,"96,51",83,"96,51",,,,,,,,,,,,,,,
11,DKI Jakarta,315,315,100,206,"65,4",315,100,315,100,315,100,,,,,,,,,,,,,,,
12,Jawa Barat,1.072,1.033,"96,36",670,"62,5",1.065,"99,35",1.035,"96,55",1.035,"96,55",,,,,,,,,,,,,,,
13,Jawa Tengah,878,846,"96,36",720,82,868,"98,86",868,"98,86",868,"98,86",,,,,,,,,,,,,,,
14,DI Yogyakarta,121,121,100,84,"69,42",121,100,112,"92,56",97,"80,17",,,,,,,,,,,,,,,
15,Jawa Timur,968,947,"97,83",553,"57,13",939,97,936,"96,69",927,"95,76",,,,,,,,,,,,,,,
16,Banten,243,242,"99,59",176,"72,43",239,"98,35",186,"76,54",174,"71,6",,,,,,,,,,,,,,,
17,Bali,120,120,100,120,100,120,100,120,100,120,100,,,,,,,,,,,,,,,
18,Nusa Tenggara Barat,169,169,100,169,100,169,100,169,100,169,100,,,,,,,,,,,,,,,
19,Nusa Tenggara Timur,402,411,"102,24",293,"72,89",411,"102,24",411,"102,24",387,"96,27",,,,,,,,,,,,,,,
20,Kalimantan Barat,246,233,"94,72",147,"59,76",191,"77,64",193,"78,46",190,"77,24",,,,,,,,,,,,,,,
21,Kalimantan Tengah,203,201,"99,01",108,"53,2",178,"87,68",177,"87,19",177,"87,19",,,,,,,,,,,,,,,
22,Kalimantan Selatan,235,222,"94,47",133,"56,6",217,"92,34",173,"73,62",173,"73,62",,,,,,,,,,,,,,,
23,Kalimantan Timur,186,184,"98,92",166,"89,25",133,"71,51",93,50,88,"47,31",,,,,,,,,,,,,,,
24,Kalimantan Utara,56,53,"94,64",48,"85,71",55,"98,21",55,"98,21",55,"98,21",,,,,,,,,,,,,,,
25,Sulawesi Utara,195,193,"98,97",121,"62,05",165,"84,62",152,"77,95",149,"76,41",,,,,,,,,,,,,,,
26,Sulawesi Tengah,206,171,"83,01",64,"31,07",182,"88,35",174,"84,47",174,"84,47",,,,,,,,,,,,,,,
27,Sulawesi Selatan,458,442,"96,51",253,"55,24",449,"98,03",414,"90,39",397,"86,68",,,,,,,,,,,,,,,
28,Sulawesi Tenggara,290,290,100,107,"36,9",254,"87,59",249,"85,86",244,"84,14",,,,,,,,,,,,,,,
29,Gorontalo,93,67,"72,04",64,"68,82",93,100,93,100,93,100,,,,,,,,,,,,,,,
30,Sulawesi Barat,95,94,"98,95",57,60,84,"88,42",84,"88,42",84,"88,42",,,,,,,,,,,,,,,
31,Maluku,209,176,"84,21",125,"59,81",198,"94,74",170,"81,34",162,"77,51",,,,,,,,,,,,,,,
32,Maluku Utara,148,143,"96,62",77,"52,03",139,"93,92",141,"95,27",141,"95,27",,,,,,,,,,,,,,,
33,Papua Barat,159,25,"15,72",61,"38,36",42,"26,42",34,"21,38",37,"23,27",,,,,,,,,,,,,,,
34,Papua,420,218,"51,9",138,"32,86",175,"41,67",139,"33,1",121,28.81,,,,,,,,,,,,,,,
Indonesia,,10.134,9.472,"93,47",6.638,"65,50",9.399,"92,75",9.041,"89,21",8894,"87,8",,,,,,,,,,,,,,,
No,Provinsi,Jumlah Penduduk,Perkiraan Jumlah Terduga Tuberkulosis,Perkiraan Jumlah Terduga Tuberkulosis Yang Mendapatkan Pelayanan Sesuai Standar,% Orang Terduga Tuberkulosis (TBC) Mendapatkan Pelayanan Tuberkulosis Sesuai Standar,Jumlah Semua Kasus Tuberkulosis,,,,,Case Notification Rate (CNR) Semua Kasus Tuberkulosis Per 100.000 Penduduk,Perkiraan Insiden Tuberkulosis (Dalam Absolut) *),Case Detection Rate (CDR%),Kasus Tuberkulosis Anak 0-14 Tahun,Cakupan Penemuan Kasus Tuberkulosis Anak (%),,,,,,,,,,,,
,,,,,,Laki-laki,,Perempuan,,Laki-laki + Perempuan,,,,,,,,,,,,,,,,,
,,,,,,Jumlah,%,Jumlah,%,,,,,,,,,,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,,,,,,,,,
1,Aceh,5.371.532,58.758,32.650,"55,6",5.489,"65,4",2.907,"34,6",8.396,156,20.125,"41,7",232,"9,6",,,,,,,,,,,,
2,Sumatera Utara,14.562.549,203.271,69.591,"34,2",19.457,"65,0",10.483,"35,0",29.940,206,62.745,"47,7",1.889,"25,1",,,,,,,,,,,,
3,Sumatera Barat,5.441.197,80.579,60.137,"74,6",6.808,"61,7",4.218,"38,3",11.026,203,22.944,"48,1",1.726,"62,7",,,,,,,,,,,,
4,Riau,6.971.745,99.465,35.824,"36,0",6.763,"62,9",3.997,"37,1",10.760,154,27.601,"39,0",1.106,"33,4",,,,,,,,,,,,
5,Jambi,3.624.579,26.554,14.737,"55,5",3.011,"60,3",1.986,"39,7",4.997,138,13.665,"36,6",590,"36,0",,,,,,,,,,,,
6,Sumatera Selatan,8.470.683,143.249,61.945,"43,2",11.994,"60,8",7.729,"39,2",19.723,233,33.733,"58,5",1.956,"48,3",,,,,,,,,,,,
7,Bengkulu,1.991.838,20.895,14.792,"70,8",1.995,"61,0",1.273,"39,0",3.268,164,7.750,"42,2",449,"48,3",,,,,,,,,,,,
8,Lampung,8.447.737,84.018,73.279,"87,2",9.195,"57,4",6.811,"42,6",16.006,189,29.473,"54,3",1.655,"46,8",,,,,,,,,,,,
9,Kep. Bangka Belitung,1.488.792,15.574,14.023,"90,0",1.365,"63,0",803,"37,0",2.168,146,5.916,"36,6",274,"38,6",,,,,,,,,,,,
10,Kepulauan Riau,2.189.653,37.213,19.023,"51,1",3.268,"60,0",2.181,"40,0",5.449,249,10.827,"50,3",618,"47,6",,,,,,,,,,,,
11,DKI Jakarta,10.557.810,230.243,110.754,"48,1",23.664,"57,1",17.780,"42,9",41.444,393,47.375,"87,5",5.401,"95,0",,,,,,,,,,,,
12,Jawa Barat,49.316.712,621.621,248.511,"40,0",67.040,"54,5",55.981,"45,5",123.021,249,127.906,"96,2",20.914,"136,3",,,,,,,,,,,,
13,Jawa Tengah,34.718.204,385.101,195.536,"50,8",30.326,"55,5",24.314,"44,5",54.640,157,82.978,"65,8",7.062,"70,9",,,,,,,,,,,,
14,DI Yogyakarta,3.842.932,30.638,23.458,"76,6",2.351,"56,7",1.793,"43,3",4.144,108,9.064,"45,7",686,"63,1",,,,,,,,,,,,
15,Jawa Timur,39.698.631,432.201,306.642,"70,9",36.229,"55,4",29.219,"44,6",65.448,165,95.811,"68,3",5.239,"45,6",,,,,,,,,,,,
16,Banten,12.927.316,142.395,74.278,"52,2",16.617,"57,7",12.195,"42,3",28.812,223,33.058,"87,2",3.123,"78,7",,,,,,,,,,,,
17,Bali,4.336.923,29.537,19.784,"67,0",2.489,"59,1",1.721,"40,9",4.210,97,12.391,"34,0",245,"16,5",,,,,,,,,,,,
18,Nusa Tenggara Barat,5.070.385,51.965,17.972,"34,6",4.450,"61,2",2.820,"38,8",7.270,143,17.715,"41,0",494,"23,2",,,,,,,,,,,,
19,Nusa Tenggara Timur,5.456.203,59.685,41.514,"69,6",4.267,"56,6",3.275,"43,4",7.542,138,18.833,"40,0",444,"19,6",,,,,,,,,,,,
